,CENEFA,Longitud,Latitud
2615,551A12,-74.1221,4.477765
2616,098A12,,
2617,510A12,-74.1233,4.474069
2618,095A12,,
2619,092A12,,
4831,591A03,-74.079,4.7490510000000015
4833,589A03,-74.0779,4.750573
4834,484A03,-74.0802,4.749599
4835,487A03,-74.0817,4.74789
4836,466A03,-74.0829,4.744738
4837,577A03,-74.0833,4.742202
4838,529B03,,
4839,592A03,-74.0853,4.739771
4840,548A03,-74.0885,4.740634
4841,197A03,-74.0907,4.742463
4842,488A08,,
4843,506A03,-74.0909,4.746421
4844,396A03,-74.0871,4.744854
4845,529A03,-74.0848,4.7423160000000015
4846,462A03,-74.0833,4.741596
4847,576A03,-74.0826,4.745430000000002
4848,488A03,-74.0817,4.747831
4849,483A03,-74.0802,4.749344000000002
4850,588A03,-74.0781,4.750424
5879,106B07,-74.1324,4.643519
5880,331B07,-74.1298,4.6456800000000005
5881,056B07,-74.125,4.645226999999998
5882,194B06,-74.125,4.650386
5883,136B06,-74.1223,4.653585
5884,134B06,-74.1173,4.659589
5888,003B03,-74.0808,4.708812
5889,587B03,-74.0815,4.707342
5890,200B03,-74.0817,4.7008220000000005
5891,083B03,-74.0834,4.697177
5892,106B04,-74.086,4.696502
5893,107B04,-74.0911,4.694024
5894,108B04,-74.093,4.690398
5895,109B04,-74.0949,4.687684
5896,032B05,-74.0969,4.684776
5897,007B05,-74.0989,4.68196
5898,127B05,-74.1012,4.679016000000002
5899,026B05,-74.1031,4.676343
5900,129B05,-74.1063,4.6721080000000015
5901,444B05,-74.1095,4.668805
5902,008B05,-74.1117,4.666618
6628,094A02,-74.0681,4.730481
6629,109A02,-74.0669,4.733339
6636,348A02,-74.0598,4.73765
6637,086A02,-74.0498,4.734664
6638,318A02,-74.0499,4.732205
6653,211A02,-74.0628,4.7367050000000015
16763,288A01,-74.0491,4.7041010000000005
16764,213A00,-74.0502,4.685355
16775,624A00,,
16776,041A00,-74.0488,4.662774
16777,039A00,-74.0445,4.669698
16778,343A00,-74.0419,4.674
17538,306A02,-74.0714,4.746242
17539,304A02,-74.0685,4.748325
17540,240A02,-74.0663,4.750942
17542,340A02,-74.063,4.741418
17543,342A02,-74.0601,4.74033
17544,341A02,-74.0564,4.739418
17545,009A02,-74.0536,4.738636
17546,008A02,-74.0511,4.7380879999999985
17553,304A01,-74.0467,4.7211940000000014
17554,303A01,-74.0471,4.718552
17555,616A01,-74.0477,4.71518
17556,302A01,-74.0481,4.712328
17557,671A01,,
17558,031A01,-74.0487,4.707342
17560,289A01,-74.0497,4.700692
17561,290A01,-74.0502,4.697474
17562,291A01,-74.0508,4.694192
17563,292A01,-74.0512,4.69172
17564,293A01,-74.0518,4.688
17567,093C02,-74.0594,4.687624
17568,136C02,-74.0637,4.688838
17569,173C03,-74.0667,4.689652
17570,001C03,-74.0705,4.689732
17571,174C03,-74.0729,4.688891
17574,105A04,-74.0802,4.683171
17575,104A04,-74.083,4.680931
17576,102A04,-74.0849,4.679361
17577,125A05,-74.0872,4.675582
17578,123A05,-74.0892,4.6722769999999985
17580,119A05,-74.0963,4.662864
17581,210A05,-74.0973,4.661728
17582,117A05,-74.09899999999998,4.659522
17583,115A05,-74.1023,4.655364
17585,065A06,-74.1067,4.64946
17586,129A06,-74.1097,4.646
17587,190A06,-74.1124,4.643343
17588,002A06,-74.1147,4.64112
17589,001A06,-74.1177,4.638109
17590,022A06,-74.1209,4.639444
17591,021A06,-74.1239,4.644433
